,source,target,weight
0,1st Customer,Monica Geller,1
1,1st Customer,Scene Directions,1
2,A Casino Boss,A Tourist,1
3,A Casino Boss,Chandler Bing,1
4,A Casino Boss,Joey Tribbiani,1
5,A Casino Boss,Phoebe Buffay,1
6,A Casino Boss,Rachel Green,1
7,A Casino Boss,Scene Directions,1
8,A Crew Member,Alex,1
9,A Crew Member,Chandler Bing,1
10,A Crew Member,Joey Tribbiani,1
11,A Crew Member,Scene Directions,1
12,A Crew Member,The Director,1
13,A Disembodied Voice,Phoebe Buffay,1
14,A Disembodied Voice,Scene Directions,1
15,A Disembodied Voice,The Fireman,1
16,A Drunken Gambler,Chandler Bing,1
17,A Drunken Gambler,Drunken Gambler,1
18,A Drunken Gambler,Monica Geller,1
19,A Drunken Gambler,Scene Directions,1
20,A Drunken Gambler,The Croupier,1
21,A Female Student,Monica Geller,1
22,A Female Student,Phoebe Buffay,1
23,A Female Student,Scene Directions,1
24,A Male Customer,Jill Green,1
25,A Male Customer,Joey Tribbiani,1
26,A Male Customer,Rachel Green,1
27,A Male Customer,Scene Directions,1
28,A Male Customer,Woman,1
29,A Student,Rachel Green,1
30,A Student,Ross Geller,1
31,A Student,Scene Directions,1
32,A Tourist,Chandler Bing,1
33,A Tourist,Joey Tribbiani,1
34,A Tourist,Phoebe Buffay,1
35,A Tourist,Rachel Green,1
36,A Tourist,Scene Directions,1
37,A Waiter,Joey Tribbiani,1
38,A Waiter,Monica Geller,1
39,A Waiter,Scene Directions,1
40,A Waiter,The Waiter,1
41,A Woman,Megan Bailey,1
42,A Woman,Monica Geller,1
43,A Woman,Phoebe Buffay,1
44,A Woman,Rachel Green,1
45,A Woman,Scene Directions,1
46,A Woman,Woman,1
47,Actor,Casting Director No. 1,1
48,Actor,Casting Director No. 2,1
49,Actor,Joey Tribbiani,1
50,Adoption Agency Guy,Agency Guy,1
51,Adoption Agency Guy,Chandler Bing,1
52,Adoption Agency Guy,Erica,1
53,Adoption Agency Guy,Monica Geller,1
54,Adoption Agency Guy,Scene Directions,1
55,Adrienne,Chandler Bing,1
56,Adrienne,Monica Geller,1
57,Adrienne,Rachel Green,1
58,Adrienne,Ross Geller,1
59,Adrienne,Scene Directions,1
60,Agency Guy,Chandler Bing,3
61,Agency Guy,Erica,3
62,Agency Guy,Monica Geller,3
63,Agency Guy,Scene Directions,3
64,Air Hostess,Rachel Green,1
65,Air Hostess,Scene Directions,1
66,Air Stewardess,Passenger #1,1
67,Air Stewardess,Passenger #2,1
68,Air Stewardess,Passenger #3,1
69,Air Stewardess,Phoebe Buffay,1
70,Air Stewardess,Rachel Green,2
71,Air Stewardess,Ross Geller,2
72,Air Stewardess,Scene Directions,2
73,Airline Employee,Chandler Bing,1
74,Airline Employee,Monica Geller,1
75,Airline Employee,Scene Directions,1
