,name,n_scenes
0,1st Customer,1
1,A Casino Boss,1
2,A Crew Member,1
3,A Disembodied Voice,1
4,A Drunken Gambler,1
5,A Female Student,1
6,A Male Customer,1
7,A Student,1
8,A Tourist,1
9,A Waiter,1
10,A Woman,1
11,Actor,1
12,Adoption Agency Guy,1
13,Adrienne,1
14,Agency Guy,3
15,Air Hostess,1
16,Air Stewardess,2
17,Airline Employee,1
18,Alan,2
19,Alex,1
20,Alexandra Steele,1
21,Alice Knight,10
22,Alison,1
23,Allesandro,3
24,Amanda (Ross' date),1
25,Amanda Buffamonteezi,4
26,Amber,2
27,Amy Green,10
28,Anchorwoman,1
29,Andrea,1
30,Andrea Waltham,9
31,Angela Delveccio,4
32,Annabelle,3
33,Announcement,1
34,Announcer,6
35,Another Extra,1
36,Another Man's Voice,1
37,Another Scientist,1
38,Another Tour Guide,1
39,Answering Machine,2
40,Anxious Wedding Guest,1
41,Arthur,1
42,Ashley,1
43,Assistant,1
44,Attendant,1
45,Aunt Iris,1
46,Aunt Lillian,2
47,Aunt Lisa,2
48,Aunt Millie,2
49,Aurora,3
50,Ballerina,1
51,Bandleader,2
52,Bank Officer,1
53,Barry Farber,9
54,Bass Singer,1
55,Ben Geller,17
56,Benjamin Hobart,4
57,Bernice,3
58,Best Man,1
59,Big Bully,4
60,Bill,3
61,Billy,1
62,Bitsy Hannigan,4
63,Bitter Lady,1
64,Bitter Woman,1
65,Blackjack Dealer,1
66,Blonde Girl,1
67,Bob,3
68,Bob (Chandler's coworker),5
69,Bobby Corso,2
70,Bobby Rush,7
71,Bonnie,9
72,Boss,1
73,Both,15
74,Boy,1
75,Boy In The Cape,1
76,Brenda,4
77,Buddy Boyles,1
78,Burt,3
79,C.H.E.E.S.E.,3
80,Cailin,2
81,Caitlin,4
82,Carl (Joey's lookalike),2
83,Carl (Rachel's date),1
84,Carol Willick,44
85,Caroline,1
86,Casey,1
87,Cashier,1
88,Cassie Geller,5
89,Casting Assistant,1
90,Casting Director #1,1
91,Casting Director #2,1
92,Casting Director #3,1
93,Casting Director No. 1,1
94,Casting Director No. 2,1
95,Casting Guy,1
96,Catherine,1
97,Cecilia,5
98,Celia,2
99,Chandler Bing,1508
100,Chandlers,1
101,Charity Guy,3
102,Charles Bing,3
103,Charlie Wheeler,33
104,Charlton Heston,1
105,Chase Lassiter,1
106,Cheryl,4
107,Chip Matthews,4
108,Chloe,10
109,Claudia,2
110,Clerk,2
111,Cliff,3
112,Clown,1
113,Colleen,2
114,Coma Guy,1
115,Commercial,1
116,Cookie Tribbiani,2
117,Cop,2
118,Cowgirl,1
119,Croupler,1
120,Customer,6
121,Customers,1
122,Cynthia,1
123,Dan,3
124,Dana Keystone,2
125,Danielle,1
126,Danny,10
127,Danny's Sister,1
128,Dave,1
129,David,16
130,Dean Lipson,1
131,Delivery Girl,1
132,Delivery Guy,2
133,Delivery Room Nurse,1
134,Dennis Phillips,2
135,Devon,1
136,Dick Clark,1
137,Dina,7
138,Director,16
139,Director's Assistant,2
140,Dirk,1
141,Doctor,6
142,Doctor Connelly,1
143,Don,2
144,Donny Osmond,4
145,Doug,10
146,Dr. Baldhara,1
147,Dr. Biely,1
148,Dr. Drake Ramoray,8
149,Dr. Franzblau,5
150,Dr. Gettleman,1
151,Dr. Harad,5
152,Dr. Horton,1
153,Dr. Johnson,1
154,Dr. Ledbetter,3
155,Dr. Li,1
156,Dr. Long,8
157,Dr. Miller,1
158,Dr. Mitchell,3
159,Dr. Oberman,2
160,Dr. Rhodes,2
