cleaned_text,tokens
Never thrown a party? What about that big bash we had with all the champagne and musicians and holy men and everything?,throw party big bash champagne musician holy man
"Bart didn't get one vote?! Oh, this is the worst thing that ever happened to us. Alright, allright, spilled milk, spilled milk, spilled milk. What are you so mopey about?",bart vote oh bad thing happen alright allright spill milk spill milk spill milk mopey
"Did you hear that, Marge? She called me a baboon! The stupidest, ugliest, smelliest ape of them all!",hear marge call baboon stupid ugliest smelly ape
"Lisa, don't hold anything back. You can tell me. Are you crying because you called Daddy a baboon?",lisa hold tell cry call daddy baboon
"Although, maybe this will help. Now you lost someone special and it hurts. I'm lucky because I never lost anyone special to me. Everyone special to me is under this roof.",maybe help lose special hurt lucky lose special special roof
"It's true. Now, you'll have lots of special people in your life, Lisa. There's probably some place where they all get together, and the food is real good, and guys like me are serving drinks. Oh well, maybe I can't explain all this, but I can fix your doll house for you. At least, I'm good at monkey work. You know... monkey. You know what I mean?",true lot special people life lisa probably place food real good guy like serve drink oh maybe explain fix doll house good monkey work know monkey know mean
"Hey son, would you have gotten any money for being class president?",hey son get money class president
"And is this Martin guy going to get to do anything neat, like throw out the first ball at the world series, huh?",martin guy go neat like throw ball world series huh
"Up... up... up... up... up... up. Don't say anything, Marge. Let's just go to bed. I'm on the biggest roll of my life.",marge let bed big roll life
"Hey, everybody! Look, I'm the funniest guy in the world!",hey everybody look funniest guy world
About last night... you might have noticed Daddy acting a little strange and you probably don't understand why.,night notice daddy act little strange probably understand
I admit it. I didn't know when to say when. I'm sorry it happened and I just hope you didn't lose a lot of respect for me.,admit know sorry happen hope lose lot respect
They're holding it at Catfish Lake. They couldn't call it Catfish Lake if it didn't have a catfish in it.,hold catfish lake catfish lake catfish
"Oh dear. If we can't find a babysitter, we can't go. What a kick in the teeth.",oh dear find babysitter kick tooth
"Wait, wait a minute... wait a minute. Who's General Sherman?",wait wait minute wait minute general sherman
Hmmmm. Gentlemen: I am going to catch General Sherman!,hmmmm gentleman go catch general sherman
Uh say... uh... Reverend... are we gonna get a chance to do any fishing?,uh uh reverend go to chance fishing
"Out at five, catch General Sherman at five-thirty, clean him at six, eat him at six-thirty, back in bed by seven with no incriminating evidence. . The perfect crime.",catch general sherman thirty clean eat thirty bed seven incriminate evidence perfect crime
Gotta be a good husband... Gotta be a good husband... Gotta be a good husband.,get to good husband get to good husband get to good husband
"Go ahead, General Sherman! Waste your strength, you big ugly catfish. I gotta skillet and a stick of butter with your name on it.",ahead general sherman waste strength big ugly catfish get to skillet stick butter
"Okay, fish, you're probably wondering why I'm still here. Catching you will make me the most famous fisherman there is, right up there with... that... the a... bald guy on that cable fishing show.",okay fish probably wonder catch famous fisherman right bald guy cable fishing
